date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,3760000000,662000000,-80000000,236000000,-1580000000,60000000,-590000000,0,-1050000000,98000000,3096000000,-1143000000,10000000,-5217000000,5310000000,6000000,-1034000000,801000000,868000000,-67000000,-3238000000,-3238000000,0,-3238000000,0,-1022000000,-1022000000,0,788000000,-2671000000,-105000000,-714000000,3138000000,3852000000,3096000000,-1143000000,1953000000,748000000,70000000
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,4240000000,716000000,-273000000,215000000,-1141000000,-426000000,-231000000,0,-484000000,-117000000,3640000000,-1105000000,13000000,-5928000000,6046000000,-34000000,-1008000000,1748000000,1421000000,327000000,-3223000000,-3223000000,0,-3223000000,0,-1133000000,-1133000000,0,460000000,-1942000000,-20000000,670000000,3808000000,3138000000,3640000000,-1105000000,2535000000,703000000,98000000
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,1933000000,774000000,647000000,218000000,1482000000,187000000,-255000000,1515000000,35000000,-99000000,4955000000,-1028000000,3000000,-4783000000,6109000000,-25000000,276000000,13000000,0,13000000,-4254000000,-4254000000,0,-4254000000,0,-1243000000,-1243000000,0,649000000,-4835000000,45000000,441000000,4249000000,3808000000,4955000000,-1028000000,3927000000,529000000,125000000
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,4029000000,720000000,34000000,325000000,562000000,-270000000,-490000000,1525000000,-203000000,233000000,5903000000,-1119000000,5000000,-2937000000,3787000000,0,-264000000,-331000000,-6000000,-325000000,-3586000000,-4286000000,0,-4286000000,700000000,-1332000000,-1332000000,0,-44000000,-5293000000,-129000000,217000000,4466000000,4249000000,5903000000,-1119000000,4784000000,757000000,153000000
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,2539000000,1119000000,-380000000,429000000,-1245000000,1239000000,-1854000000,24000000,-654000000,23000000,2485000000,-1086000000,0,-2426000000,2453000000,31000000,-1028000000,6177000000,6128000000,49000000,-3067000000,-3067000000,0,-3067000000,0,-1452000000,-1452000000,0,833000000,2491000000,-66000000,3882000000,8348000000,4466000000,2485000000,-1086000000,1399000000,1028000000,140000000
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,5727000000,797000000,-385000000,611000000,45000000,-1606000000,507000000,1326000000,-182000000,-138000000,6657000000,-695000000,0,-9961000000,6685000000,171000000,-3800000000,-249000000,-197000000,-52000000,-608000000,-608000000,0,-608000000,0,-1638000000,-1638000000,0,1036000000,-1459000000,143000000,1541000000,9889000000,8348000000,6657000000,-695000000,5962000000,1177000000,293000000
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,6046000000,840000000,-650000000,638000000,-1660000000,-504000000,-1676000000,1365000000,-845000000,-26000000,5188000000,-758000000,0,-12913000000,12166000000,-19000000,-1524000000,15000000,0,15000000,-4014000000,-4014000000,0,-4014000000,0,-1837000000,-1837000000,0,1000000000,-4836000000,-143000000,-1315000000,8574000000,9889000000,5188000000,-758000000,4430000000,1231000000,290000000
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,5070000000,859000000,-117000000,755000000,-513000000,489000000,-133000000,-225000000,-644000000,-213000000,5841000000,-969000000,0,-6059000000,7540000000,52000000,564000000,-504000000,-500000000,-4000000,-4829000000,-5480000000,0,-5480000000,651000000,-2012000000,-2012000000,0,-102000000,-7447000000,-91000000,-1133000000,7441000000,8574000000,5841000000,-969000000,4872000000,1517000000,347000000
2024-05-31,NKE,USD,0000320187,2024-07-25,2024-07-25 16:16:58,2024,FY,5700000000,844000000,-497000000,804000000,716000000,-329000000,908000000,397000000,-260000000,-138000000,7429000000,-812000000,0,-4767000000,6488000000,-15000000,894000000,0,0,0,-4250000000,-4250000000,0,-4250000000,0,-2169000000,-2169000000,0,531000000,-5888000000,-16000000,2419000000,9860000000,7441000000,7429000000,-812000000,6617000000,1299000000,381000000
2025-05-31,NKE,USD,0000320187,2025-07-17,2025-07-17 16:25:25,2025,FY,3219000000,808000000,-288000000,709000000,-787000000,-257000000,120000000,-426000000,-224000000,37000000,3698000000,-430000000,0,-3234000000,3381000000,8000000,-275000000,-1001000000,-1000000000,-1000000,-2985000000,-2985000000,0,-2985000000,0,-2300000000,-2300000000,0,466000000,-5820000000,1000000,-2396000000,7464000000,9860000000,3698000000,-430000000,3268000000,1226000000,389000000
